Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
IF2204558,4/21/2022,3:02,44672,3:02,"1012 W Illinois St, Urbana, IL 61801, USA",HARASSMENT BY,ANDMIN
,,,,,,ELECTRONIC,CLOSED
,,,,,,COMMUNICATI,
CC2208045,4/29/2022,0:00,44632,16:30,"300 E White St, Champaign, IL 61820, USA",BURGLARY RESIDENTIAL,REPORTED TO
,,,,,,,OTHER AGENCY
II2205096,5/5/2022,10:08,44683,8:30,"1212 W Springfield Ave, Urbana, IL 61801, USA",THEFT $500 AND UNDER,PENDING
II2204868,4/20/2022,14:20,44669,16:58,"500 E John St, Champaign, IL 61820, USA",ASSAULT,PENDING
II2204840,4/28/2022,8:16,44677,18:00,"1212 W Springfield Ave, Urbana, IL 61801, USA",THEFT OF LOST/MISLAID,PENDING
,,,,,,PROPERTY,
CC2208441,3/20/2022,0:00,44638,19:25,"311 E White St, Champaign, IL 61820, USA",THEFT-MOTOR VEHICLE,REPORTED TO
,,,,,,,OTHER AGENCY
II2204997,5/2/2022,19:16,44680,11:01,"902 W College Ct, Urbana, IL 61801, USA",THEFT $500 AND UNDER,PENDING
CC2208446,4/29/2022,0:00,44638,20:04,"E John St, Champaign, IL 61820, USA",OTHER TROUBLE/INFO RPT,REPORTED TO
,,,,,,,OTHER AGENCY
IF2204891,4/29/2022,21:43,44680,21:43,"1401 W Green St, Urbana, IL 61801, USA",LIQUOR-UNDERAGE,STUDENT DISC
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
,,,,,,,REFERRAL
II2204932,4/30/2022,23:52,44681,23:52,"500 S 3rd St, Champaign, IL 61820, USA",UNLAWFUL RESTRAINT,ARREST
II2204515,4/29/2022,14:04,44680,14:04,"Sanibel Dr, Urbana, IL 61802, USA",DEL/MANUF CANNABIS 10 G,PENDING
,,,,,,- 30 G -FEL,
CC2212737,4/23/2022,7:07,44673,17:32,"502 E John St, Champaign, IL 61820, USA",BATTERY,REPORTED TO
,,,,,,,OTHER AGENCY
II2204919,4/30/2022,17:59,44673,10:00,"1010 W Illinois St, Urbana, IL 61801, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
CC2213863,5/2/2022,7:01,44682,10:16,"810 S Oak St, Champaign, IL 61820, USA",CRIMINAL DAMAGE,REPORTED TO
,,,,,,,OTHER AGENCY
II2205045,5/4/2022,9:42,44685,9:41,"400 E White St, Champaign, IL 61820, USA",BATTERY-AGGRAVATED,ARREST
IF2204633,4/22/2022,23:09,44673,23:09,"112 E Green, 112 E Green St, Champaign, IL",BATTERY,ADMIN CLOSED
,,,,,"61820, USA",,
UU2207361,5/1/2022,7:03,44681,15:02,"1101 W Pennsylvania Ave, Urbana, IL 61801,",BATTERY,REPORTED TO
,,,,,USA,,OTHER AGENCY
01471-2022,5/3/2022,10:21,44642,0:01,"600 E Armory Ave, Champaign, IL 61820, USA",SEXUAL ASSAULT,ADMIN CLOSED
II2203997,4/29/2022,9:57,44680,9:57,"700 W Green St, Urbana, IL 61801, USA",DEL/MANUF CANNABIS,PENDING
,,,,,,UNDER 10 G -MISD,
II2204515,4/29/2022,14:04,44680,14:04,"Sanibel Dr, Urbana, IL 61802, USA",DEL/MANUF CANNABIS,ARREST
,,,,,,OVER 30 G -FEL,
CSA22-073,5/4/2022,16:48,44684,UNKNOWN,"502 W Green St #106, Urbana, IL 61801, USA",RAPE,ADMIN CLOSED
II2205046,5/4/2022,11:30,44681,21:00,"Urbana, IL 61801, USA",BATTERY,ADMIN. CLOSE
CC2208500,4/29/2022,0:00,44639,0:30,"300 E White St, Champaign, IL 61820, USA",CRIMINAL DAMAGE TO,REPORTED TO
,,,,,,PROPERTY,OTHER AGENCY
II2204893,4/29/2022,22:42,44680,22:42,"300 E Green St, Urbana, IL 61802, USA",ILLEGAL TRANSPORTATION,ARREST
,,,,,,OF LIQUOR,
II2204932,4/30/2022,23:52,44681,23:52,"500 S 3rd St, Champaign, IL 61820, USA",BATTERY-AGGRAVATED,ARREST
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
CC2213993,5/3/2022,7:15,44683,13:38,"Illini Towers, 409 E Chalmers St, Champaign, IL",BURGLARY FROM MOTOR,REPORTED TO
,,,,,"61820, USA",VEHICLE,OTHER AGENCY
IF2205086,5/5/2022,1:08,44686,1:08,"1409 W Green St, Urbana, IL 61801, USA",LIQUOR-UNDERAGE,ADMIN CLOSED
CC2214379,5/6/2022,7:01,44686,17:52,"805 S 4th St, Champaign, IL 61820, USA",THEFT,REPORTED TO
,,,,,,,OTHER AGENCY
II2204840,4/28/2022,8:16,44677,18:00,"1212 W Springfield Ave, Urbana, IL 61801, USA",FRAUD-CREDIT CARD,PENDING
II2204893,4/29/2022,22:42,44680,22:42,"300 E Green St, Urbana, IL 61802, USA",DEL/MANUF CANNABIS,ARREST
,,,,,,OVER 30 G -FEL,
CC2213569,4/30/2022,7:06,44680,7:03,"812 S 6th St, Champaign, IL 61820, USA",THEFT,REPORTED TO
,,,,,,,OTHER AGENCY
CC2213718,5/1/2022,7:02,44681,10:47,"501 E Healey St, Champaign, IL 61820, USA",DECEPTIVE PRACTICES,REPORTED TO
,,,,,,,OTHER AGENCY
II2204990,5/2/2022,15:20,44683,15:20,"1001 W Pennsylvania Ave, Urbana, IL 61801,",THEFT OVER $500,PENDING
,,,,,USA,,
01466-2022,5/3/2022,10:03,44680,22:30,"1005 S Lincoln Ave, Urbana, IL 61801, USA",THEFT,ADMIN CLOSED
II2205019,5/3/2022,14:58,44684,9:30,"1301 W Green St, Urbana, IL 61801, USA",THEFT OVER $500,PENDING
II2205023,5/3/2022,16:42,44684,16:42,"Engineering Hall, 1308 W Green St, Urbana, IL",PUBLIC INDECENCY,UNFOUNDED
,,,,,"61801, USA",,
IF2205034,5/4/2022,0:55,44685,0:55,"E John St & S 3rd St, Champaign, IL 61820,",DISORDERLY CONDUCT,ADMIN CLOSED
,,,,,USA,,
CC2209402,3/27/2022,0:00,44646,19:01,"200 E John St, Champaign, IL 61820, USA",UNLAWFUL RESTRAINT,REPORTED TO
,,,,,,,OTHER AGENCY
CC2208500,4/29/2022,0:00,44639,0:30,"300 E White St, Champaign, IL 61820, USA",BURGLARY,REPORTED TO
,,,,,,,OTHER AGENCY
IF2204926,4/30/2022,22:23,44681,22:23,"George Huff Hall, 1206 S 4th St, Champaign, IL",LIQUOR-UNDERAGE,STUDENT DISC
,,,,,"61820, USA",,REFERRAL
CC2217176,5/27/2022,7:15,44708,6:55,"903 S 1st St, Champaign, IL 61820, USA",BURGLARY FROM MOTOR,REPORTED TO
,,,,,,VEHICLE,OTHER AGENCY
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
II2207814,7/18/2022,14:49,44760,14:00,"201 E Peabody Dr, Champaign, IL 61820, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2207752,7/17/2022,1:04,44759,1:04,"N Coler Ave & W Springfield Ave, Urbana, IL",BREATH ALCOHOL OVER,ARREST
,,,,,"61801, USA",LIMIT,
UU2212905,7/19/2022,7:12,44760,10:47,"904 W Green St, Urbana, IL 61801, USA",THEFT,REPORTED TO
,,,,,,,OTHER AGENCY
II2207749,7/17/2022,0:23,44759,0:23,"800 S 6th St, Champaign, IL 61820, USA",ILLEGAL TRANSPORTATION,ARREST
,,,,,,OF LIQUOR,
II2207749,7/17/2022,0:23,44759,0:23,"800 S 6th St, Champaign, IL 61820, USA",BREATH ALCOHOL OVER,ARREST
,,,,,,LIMIT,
II2207749,7/17/2022,0:23,44759,0:23,"800 S 6th St, Champaign, IL 61820, USA",DRIVING UNDER THE,ARREST
,,,,,,INFL-ALCOHOL,
IF2209157,8/19/2022,1:30,44792,1:30,"S 2nd St & E Green St, Champaign, IL 61820,",LIQUOR-UNDERAGE,STUDENT DISC
,,,,,USA,,REFERRAL
II2207709,7/15/2022,21:06,44757,21:06,"200 E Green St, Urbana, IL 61802, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
CSA22-109,8/16/2022,15:59,44722,UNKNOWN,"Champaign, IL, USA",STALKING,ADMIN CLOSED
CC2228190,8/19/2022,7:13,44792,0:37,"310 E Springfield Ave, Champaign, IL 61820,",THEFT,REPORTED TO
,,,,,USA,,OTHER AGENCY
01920-2022,7/15/2022,9:55,44749,0:01,"Illinois Street Residence Hall Commons, 1010 W",CRIMINAL DAMAGE,ADMIN CLOSED
,,,,,"Illinois St, Urbana, IL 61801, USA",,
II2207692,7/15/2022,11:02,44757,11:02,"Juniper Dr, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2207752,7/17/2022,1:04,44759,1:04,"N Coler Ave & W Springfield Ave, Urbana, IL",DRIVING UNDER THE,ARREST
,,,,,"61801, USA",INFL-ALCOHOL,
II2207761,7/17/2022,6:11,44759,6:11,"1600 W Bradley Ave, Champaign, IL 61821, USA",DRIVING UNDER THE,ARREST
,,,,,,INFL-ALCOHOL,
II2207793,7/18/2022,1:18,44760,1:18,"500 E University Ave, Urbana, IL 61802, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
CC2218798,6/9/2022,7:15,44720,22:45,"303 E Green St, Champaign, IL 61820, USA",THEFT,REPORTED TO
,,,,,,,OTHER AGENCY
IF2209062,8/17/2022,22:55,44790,22:55,"707 S 4th St, Champaign, IL 61820, USA",LIQUOR-ALCOHOL ON,STUDENT DISC
,,,,,,PUBLIC PROPERTY,REFERRAL
II2207761,7/17/2022,6:11,44759,6:11,"1600 W Bradley Ave, Champaign, IL 61821, USA",BREATH ALCOHOL OVER,ARREST
,,,,,,LIMIT,
II2207692,7/15/2022,11:02,44757,11:02,"Juniper Dr, Champaign, IL 61820, USA",METRO ACTIVATION,ADMIN. CLOSE
CC2218919,6/10/2022,7:10,44721,22:35,"310 E Springfield Ave, Champaign, IL 61820,",THEFT,REPORTED TO
,,,,,USA,,OTHER AGENCY
IF2209145,8/18/2022,23:09,44791,23:09,"S 3rd St & E Green St, Champaign, IL 61820,",LIQUOR-ALCOHOL ON,STUDENT DISC
,,,,,USA,PUBLIC PROPERTY,REFERRAL
CC2225548,8/25/2022,0:00,44771,17:45,"500 S 1st St, Champaign, IL 61820, USA",BURGLARY FROM MOTOR,REPORTED TO
,,,,,,VEHICLE,OTHER AGENCY
CC2228919,8/25/2022,7:08,44797,8:11,"412 E Healey St, Champaign, IL 61820, USA",THEFT,REPORTED TO
,,,,,,,OTHER AGENCY
CC2222081,7/5/2022,0:00,44743,10:00,"100 E Chalmers St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,REPORTED TO
,,,,,,,OTHER AGENCY
II2209526,8/24/2022,18:20,44784,0:01,"700 S Gregory St, Urbana, IL 61801, USA",THEFT $500 AND UNDER,UNFOUNDED
CC2229168,8/26/2022,7:00,44798,19:49,"211 E Green St, Champaign, IL 61820, USA",DECEPTIVE PRACTICES,REPORTED TO
,,,,,,,OTHER AGENCY
CC2225473,7/31/2022,0:00,44769,16:25,"400 E Green St, Urbana, IL 61802, USA",THEFT-RETAIL,REPORTED TO
,,,,,,,OTHER AGENCY
II2209513,8/24/2022,10:08,44796,19:00,"Altgeld Hall, 1409 W Green St, Urbana, IL",THEFT $500 AND UNDER,PENDING
,,,,,"61801, USA",,
CC2222639,7/9/2022,0:00,44748,23:59,"300 E John St, Champaign, IL 61820, USA",CRIMINAL DAMAGE TO,REPORTED TO
,,,,,,PROPERTY,OTHER AGENCY
CC2222165,7/4/2022,0:00,44746,21:40,"E Green St, Urbana, IL, USA",CRIMINAL DAMAGE TO,REPORTED TO
,,,,,,PROPERTY,OTHER AGENCY
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
CC2221791,8/25/2022,0:00,44744,13:15,"S 6th St & E Green St, Champaign, IL 61820,",BATTERY-DOMESTIC,REPORTED TO
,,,,,USA,,OTHER AGENCY
CC2222242,8/25/2022,0:00,44745,9:30,"E Springfield Ave, Champaign, IL 61820, USA",BURGLARY FROM MOTOR,REPORTED TO
,,,,,,VEHICLE,OTHER AGENCY
CC2223350,7/15/2022,0:00,44750,9:00,"700 S 6th St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,REPORTED TO
,,,,,,,OTHER AGENCY
CC2224862,8/25/2022,0:00,44768,0:15,"2200 S 1st St, Champaign, IL 61820, USA",UNLAWFUL USE OF,REPORTED TO
,,,,,,WEAPONS,OTHER AGENCY
UU2215605,8/26/2022,7:00,44798,18:37,"203 N Gregory St, Urbana, IL 61801, USA",THEFT,REPORTED TO
,,,,,,,OTHER AGENCY
CC2222118,8/25/2022,0:00,44746,16:40,"200 E Armory Ave, Champaign, IL 61820, USA",BURGLARY,REPORTED TO
,,,,,,TOOLS-POSSESSION,OTHER AGENCY
II2209590,8/25/2022,9:30,44798,9:30,"408 E Peabody Dr, Champaign, IL 61820, USA",THEFT $500 AND UNDER,PENDING
CC2222023,7/4/2022,0:00,44742,21:50,"600 E Green St, Urbana, IL 61802, USA",THEFT $500 AND UNDER,REPORTED TO
,,,,,,,OTHER AGENCY
CC2224092,8/25/2022,0:00,44757,18:55,"1000 S 1st St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,REPORTED TO
,,,,,,,OTHER AGENCY
CC2229076,8/25/2022,7:08,44798,4:17,"508 E Clark St, Champaign, IL 61820, USA",THEFT,REPORTED TO
,,,,,,,OTHER AGENCY
CC2224108,7/20/2022,0:00,44756,20:55,"300 E Stoughton St, Champaign, IL 61820, USA",THEFT-RETAIL,REPORTED TO
,,,,,,,OTHER AGENCY
II2215938,12/27/2022,13:12,12/27/2022,13:00,"400 E Healey St, Champaign, IL 61820, USA",BATTERY,ARREST
II2215938,12/27/2022,13:12,12/27/2022,13:00,"400 E Healey St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2215968,12/28/2022,11:38,12/28/2022,11:36,"700 S Gregory St, Urbana, IL 61801, USA",BATTERY,ADMIN. CLOSE
UU2224131,12/28/2022,7:02,12/27/2022,22:46,"1002 W Clark St, Urbana, IL 61801, USA",THEFT,REPORTED TO
,,,,,,,OTHER AGENCY
II2216010,12/29/2022,17:29,12/29/2022,17:29,"1405 S Neil St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
,,,,,,DEPT,
CC2244004,12/30/2022,7:10,12/29/2022,19:28,"604 E Green St, Champaign, IL 61820, USA",FORGERY,REPORTED TO
,,,,,,,OTHER AGENCY
II2216027,12/30/2022,8:41,12/30/2022,8:41,"400 E Healey St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2216027,12/30/2022,8:41,12/30/2022,8:41,"400 E Healey St, Champaign, IL 61820, USA",TRESPASS TO LAND/REAL,ADMIN. CLOSE
,,,,,,PROPERTY,
II2216056,12/31/2022,2:25,12/31/2022,2:25,"Kirby & Neil (SW Corner), Champaign, IL 61820,",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,USA,DEPT,
II2300008,1/1/2023,2:17,1/1/2023,2:17,"S 3rd St, Champaign, IL 61820, USA",MIP ALCOHOL/LIQUOR,ARREST
II2300010,1/1/2023,3:01,1/1/2023,3:01,"102 E Green St STE 104, Champaign, IL 61820,",MISSING PERSON,ADMIN. CLOSE
,,,,,USA,ADULT/FEMALE,
II2300010,1/1/2023,3:01,1/1/2023,3:01,"102 E Green St STE 104, Champaign, IL 61820,",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,USA,DEPT,
II2300012,1/1/2023,4:26,1/1/2023,4:25,"1510 S Neil St, Champaign, IL 61820, USA",MOB ACTION,PENDING
II2300012,1/1/2023,4:26,1/1/2023,4:25,"1510 S Neil St, Champaign, IL 61820, USA",BATTERY,PENDING
II2300012,1/1/2023,4:26,1/1/2023,4:25,"1510 S Neil St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300025,1/1/2023,15:52,1/1/2023,1:30,"606 S 6th St, Champaign, IL 61820, USA",ROBBERY,ADMIN. CLOSE
II2300025,1/1/2023,15:52,1/1/2023,1:30,"606 S 6th St, Champaign, IL 61820, USA",MOB ACTION,ADMIN. CLOSE
II2300025,1/1/2023,15:52,1/1/2023,1:30,"606 S 6th St, Champaign, IL 61820, USA",BATTERY-AGGRAVATED,ADMIN. CLOSE
UU2300002,1/1/2023,7:11,1/1/2023,0:05,"S Lincoln Ave & W Green St, Urbana, IL 61801,",SHOOTING REPORT,REPORTED TO
,,,,,USA,,OTHER AGENCY
II2300080,1/3/2023,12:44,1/3/2023,12:44,"509 E Green St, Champaign, IL 61820, USA",THEFT-RETAIL,PENDING
II2300085,1/3/2023,16:10,1/3/2023,16:00,"100 E Green St, Champaign, IL 61820, USA",FRAUD-DECEPTION,PENDING
II2300085,1/3/2023,16:10,1/3/2023,16:00,"100 E Green St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
,,,,,,DEPT,
II2300108,1/4/2023,4:41,1/4/2023,4:29,"306 E Green St #5609, Champaign, IL 61820,",CRIMINAL DAMAGE TO,PENDING
,,,,,USA,PROPERTY,
II2300108,1/4/2023,4:41,1/4/2023,4:29,"306 E Green St #5609, Champaign, IL 61820,",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,USA,DEPT,
CC2200378,1/5/2023,7:10,1/4/2023,15:00,"102 E Green St STE 104, Champaign, IL 61820,",DECEPTIVE PRACTICE,REPORTED TO
,,,,,USA,,OTHER AGENCY
CC2300374,1/5/2023,7:10,1/4/2023,14:59,"211 E Green St, Champaign, IL 61820, USA",DECEPTIVE PRACTICE,REPORTED TO
,,,,,,,OTHER AGENCY
CC2300375,1/5/2023,7:10,1/4/2023,14:59,"211 E Green St, Champaign, IL 61820, USA",DECEPTIVE PRACTICE,REPORTED TO
,,,,,,,OTHER AGENCY
CC2300376,1/5/2023,7:10,1/4/2023,14:59,"211 E Green St, Champaign, IL 61820, USA",DECEPTIVE PRACTICE,REPORTED TO
,,,,,,,OTHER AGENCY
CC2300377,1/5/2023,7:10,1/4/2023,14:59,"211 E Green St, Champaign, IL 61820, USA",DECEPTIVE PRACTICE,REPORTED TO
,,,,,,,OTHER AGENCY
II2300144,1/5/2023,7:21,1/4/2023,12:00,"1802-1834 S Oak St, Champaign, IL 61820, USA",BURGLARY FROM MOTOR,ADMIN. CLOSE
,,,,,,VEHICLE,
II2300192,1/6/2023,15:21,1/6/2023,11:00,"600 E Green St, Urbana, IL 61802, USA",BURGLARY,PENDING
II2300192,1/6/2023,15:21,1/6/2023,11:00,"600 E Green St, Urbana, IL 61802, USA",FRAUD-CREDIT CARD,PENDING
II2300192,1/6/2023,15:21,1/6/2023,11:00,"600 E Green St, Urbana, IL 61802, USA",THEFT-IDENTITY,PENDING
II2300192,1/6/2023,15:21,1/6/2023,11:00,"600 E Green St, Urbana, IL 61802, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300205,1/6/2023,23:53,1/6/2023,23:53,"S 1st St & W Kirby Ave, Champaign, IL 61820,",DRIVING UNDER THE,ARREST
,,,,,USA,INFL-ALCOHOL,
II2300253,1/8/2023,2:12,1/8/2023,2:10,"706 S 5th St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300253,1/8/2023,2:12,1/8/2023,2:10,"706 S 5th St, Champaign, IL 61820, USA",BATTERY-AGGRAVATED,PENDING
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
II2300253,1/8/2023,2:12,1/8/2023,2:10,"706 S 5th St, Champaign, IL 61820, USA",MOB ACTION,PENDING
II2300253,1/8/2023,2:12,1/8/2023,2:10,"706 S 5th St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,PENDING
II2300254,1/8/2023,2:05,1/8/2023,2:05,"100 N Broadway Ave, Urbana, IL 61801, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
UU2300370,1/8/2023,9:25,1/7/2023,19:25,"905 W Oregon St, Urbana, IL 61801, USA",THEFT,REPORTED TO
,,,,,,,OTHER AGENCY
II2300347,1/10/2023,10:44,1/10/2023,10:44,"W Kirby Ave & S 4th St, Champaign, IL 61820,",UNLAWFUL USE OF,ARREST
,,,,,USA,WEAPONS,
II2300347,1/10/2023,10:44,1/10/2023,10:44,"W Kirby Ave & S 4th St, Champaign, IL 61820,",DISORDERLY CONDUCT-ALL,ARREST
,,,,,USA,OTHER,
II2300347,1/10/2023,10:44,1/10/2023,10:44,"W Kirby Ave & S 4th St, Champaign, IL 61820,",ASSAULT-AGGRAVATED,ARREST
,,,,,USA,,
IF2300417,1/11/2023,20:58,1/11/2023,20:58,"S 6th St & E Green St, Champaign, IL 61820,",BATTERY,ADMIN CLOSED
,,,,,USA,,
II2300410,1/11/2023,19:03,12/30/2022,12:00,"Illini Towers, 409 E Chalmers St, Champaign, IL",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,"61820, USA",DEPT,
II2300410,1/11/2023,19:03,12/30/2022,12:00,"Illini Towers, 409 E Chalmers St, Champaign, IL",BURGLARY RESIDENTIAL,ADMIN. CLOSE
,,,,,"61820, USA",,
II2300432,1/12/2023,11:47,1/11/2023,20:00,"1800 S 1st St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2300452,1/12/2023,20:52,1/12/2023,20:52,"1801-1815 Orchard Pl, Urbana, IL 61801, USA",BATTERY-DOMESTIC,ARREST
II2300453,1/12/2023,17:26,1/12/2023,15:00,"201 E Peabody Dr, Champaign, IL 61820, USA",THEFT $500 AND UNDER,ADMIN. CLOSE
II2300464,1/13/2023,4:30,1/13/2023,4:30,"N Mathews Ave & W University Ave, Urbana, IL",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,"61801, USA",DEPT,
II2300465,1/13/2023,5:42,1/13/2023,5:42,"1900 Nancy Ct, Champaign, IL 61822, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300465,1/13/2023,5:42,1/13/2023,5:42,"1900 Nancy Ct, Champaign, IL 61822, USA",METRO ACTIVATION,ADMIN. CLOSE
II2300467,1/13/2023,5:39,1/13/2023,5:39,"607 S Mathews Ave, Urbana, IL 61801, USA",TERRORISM-MAKE FALSE,REFERRED TO
Incident,Date,Time,Date,Time,General Location,Crime Description,Disposition
,Reported,Reported,Occurred,Occurred,,,
,,,,,,TERROR THREAT,OTHER
,,,,,,,JURISDICTION
II2300562,1/15/2023,13:40,1/7/2023,18:29,"603 S 6th St, Champaign, IL 61820, USA",DECEPTIVE PRACTICES,PENDING
II2300562,1/15/2023,13:40,1/7/2023,18:29,"603 S 6th St, Champaign, IL 61820, USA",ASSIST OTHER POLICE,ADMIN. CLOSE
,,,,,,DEPT,
II2300562,1/15/2023,13:40,1/7/2023,18:29,"603 S 6th St, Champaign, IL 61820, USA",THEFT $500 AND UNDER,PENDING
II2300562,1/15/2023,13:40,1/7/2023,18:29,"603 S 6th St, Champaign, IL 61820, USA",POSS OF DRUG,PENDING
,,,,,,PARAPHERNALIA -ORD,
II2300564,1/15/2023,15:11,1/14/2023,23:20,"211 E Green St, Champaign, IL 61820, USA",THEFT OF LOST/MISLAID,ADMIN. CLOSE
,,,,,,PROPERTY,
